
TimeStamp,id,Y,X,type,GroupId
2014-6-06 18:00:01,1464019,48,78,check-in,
2014-6-06 18:00:01,2068147,43,17,check-in,
2014-6-06 18:00:01,374824,43,17,check-in,
2014-6-06 18:00:01,1342832,43,17,check-in,
2014-6-06 18:00:01,375714,43,17,check-in,
2014-6-06 18:00:01,597706,43,17,check-in,
2014-6-06 18:00:01,250943,43,17,check-in,
2014-6-06 18:00:01,1840656,43,17,check-in,
2014-6-06 18:00:01,163330,43,6,check-in,
2014-6-06 18:00:01,268563,43,6,check-in,
2014-6-06 18:00:02,1394901,48,78,check-in,
2014-6-06 18:00:02,89618,48,78,check-in,
2014-6-06 18:00:02,875692,43,17,check-in,
2014-6-06 18:00:02,48628,43,17,check-in,
2014-6-06 18:00:02,725559,43,6,check-in,
2014-6-06 18:00:03,1931591,79,73,check-in,
2014-6-06 18:00:03,1695328,43,17,check-in,
2014-6-06 18:00:03,1856019,48,78,check-in,
2014-6-06 18:00:03,595511,48,78,check-in,
2014-6-06 18:00:04,31954,79,73,check-in,
2014-6-06 18:00:04,309261,79,73,check-in,
2014-6-06 18:00:05,595748,11,47,check-in,
2014-6-06 18:00:06,1908746,24,45,check-in,
2014-6-06 18:00:06,443711,11,47,check-in,
2014-6-06 18:00:07,27774,11,47,check-in,
2014-6-06 18:00:07,1718690,11,47,check-in,
2014-6-06 18:00:07,612084,90,38,check-in,
2014-6-06 18:00:08,866007,90,38,check-in,
2014-6-06 18:00:16,744879,33,32,check-in,
2014-6-06 18:00:17,528530,33,32,check-in,
2014-6-06 18:00:17,1647214,79,73,check-in,
2014-6-06 18:00:18,229683,79,73,check-in,
2014-6-06 18:00:20,1737684,88,76,check-in,
2014-6-06 18:00:20,1516513,88,76,check-in,
2014-6-06 18:00:20,398396,66,16,check-in,
2014-6-06 18:00:20,675561,66,16,check-in,
2014-6-06 18:00:24,1622104,43,6,check-in,
2014-6-06 18:00:24,2023392,90,38,check-in,
2014-6-06 18:00:25,374355,43,6,check-in,
2014-6-06 18:00:25,889064,43,6,check-in,
2014-6-06 18:00:25,523606,43,6,check-in,
2014-6-06 18:00:25,336328,90,38,check-in,
2014-6-06 18:00:25,983590,90,38,check-in,
2014-6-06 18:00:26,1772919,43,6,check-in,
2014-6-06 18:00:26,1814880,43,6,check-in,
2014-6-06 18:00:26,179988,43,6,check-in,
2014-6-06 18:00:26,629585,87,79,check-in,
2014-6-06 18:00:26,1993152,87,79,check-in,
2014-6-06 18:00:27,1335508,87,79,check-in,
2014-6-06 18:00:28,1397469,33,32,check-in,
