TimeStamp,id,Y,X,type,GroupId
2014-6-08 12:00:02,1140349,87,48,check-in,
2014-6-08 12:00:03,1121686,90,38,check-in,
2014-6-08 12:00:03,1584543,90,38,check-in,
2014-6-08 12:00:03,650299,90,38,check-in,
2014-6-08 12:00:03,829928,90,38,check-in,
2014-6-08 12:00:04,1548729,89,79,check-in,
2014-6-08 12:00:04,672552,11,47,check-in,
2014-6-08 12:00:04,800528,44,69,check-in,
2014-6-08 12:00:04,871859,90,38,check-in,
2014-6-08 12:00:05,1850052,78,43,check-in,
2014-6-08 12:00:05,2048286,89,79,check-in,
2014-6-08 12:00:05,266590,89,79,check-in,
2014-6-08 12:00:05,395589,78,43,check-in,
2014-6-08 12:00:05,446674,44,69,check-in,
2014-6-08 12:00:05,562787,78,43,check-in,
2014-6-08 12:00:05,855137,44,69,check-in,
2014-6-08 12:00:06,1844006,48,87,check-in,
2014-6-08 12:00:06,322684,78,43,check-in,
2014-6-08 12:00:07,1535398,78,43,check-in,
2014-6-08 12:00:08,1034322,48,87,check-in,
2014-6-08 12:00:08,1069800,90,38,check-in,
2014-6-08 12:00:08,1115098,90,38,check-in,
2014-6-08 12:00:08,77985,37,67,check-in,
2014-6-08 12:00:09,1473900,90,38,check-in,
2014-6-08 12:00:09,1863422,90,38,check-in,
2014-6-08 12:00:09,531594,37,42,check-in,
2014-6-08 12:00:10,1043605,90,38,check-in,
2014-6-08 12:00:10,1443105,37,42,check-in,
2014-6-08 12:00:10,1614351,15,27,check-in,
2014-6-08 12:00:10,2032890,90,38,check-in,
2014-6-08 12:00:10,2061189,37,42,check-in,
2014-6-08 12:00:11,1180438,37,42,check-in,
2014-6-08 12:00:11,1663043,15,27,check-in,
2014-6-08 12:00:11,1703093,15,27,check-in,
2014-6-08 12:00:11,1764153,44,69,check-in,
2014-6-08 12:00:11,1868780,37,42,check-in,
2014-6-08 12:00:11,818140,44,69,check-in,
2014-6-08 12:00:11,985107,44,69,check-in,
2014-6-08 12:00:11,993422,37,42,check-in,
2014-6-08 12:00:12,1459639,63,87,check-in,
2014-6-08 12:00:12,1955928,63,87,check-in,
2014-6-08 12:00:12,487124,15,27,check-in,
2014-6-08 12:00:12,501640,66,28,check-in,
2014-6-08 12:00:13,1472727,15,27,check-in,
2014-6-08 12:00:13,1831687,77,81,check-in,
2014-6-08 12:00:13,1856774,66,28,check-in,
2014-6-08 12:00:13,793703,15,27,check-in,
2014-6-08 12:00:14,111975,15,27,check-in,
2014-6-08 12:00:14,1309692,44,69,check-in,
2014-6-08 12:00:14,1825154,66,28,check-in,
2014-6-08 12:00:14,1983777,63,87,check-in,
2014-6-08 12:00:14,2066984,44,69,check-in,
2014-6-08 12:00:14,242353,43,6,check-in,
2014-6-08 12:00:14,383773,44,86,check-in,
2014-6-08 12:00:14,688770,44,69,check-in,
2014-6-08 12:00:14,702381,44,69,check-in,
2014-6-08 12:00:15,391338,44,86,check-in,
2014-6-08 12:00:16,1108132,43,6,check-in,
2014-6-08 12:00:16,1731054,43,6,check-in,
2014-6-08 12:00:16,1809285,63,87,check-in,
2014-6-08 12:00:16,468242,43,6,check-in,
2014-6-08 12:00:16,539386,43,6,check-in,
2014-6-08 12:00:16,620478,56,43,check-in,
2014-6-08 12:00:16,76731,44,86,check-in,
2014-6-08 12:00:17,1861533,86,85,check-in,
2014-6-08 12:00:17,1908375,63,87,check-in,
2014-6-08 12:00:17,1924631,86,85,check-in,
2014-6-08 12:00:17,435513,80,82,check-in,
2014-6-08 12:00:17,811356,63,87,check-in,
2014-6-08 12:00:18,2041025,24,45,check-in,
2014-6-08 12:00:18,2049088,80,82,check-in,
2014-6-08 12:00:18,337056,86,85,check-in,
2014-6-08 12:00:18,45840,63,87,check-in,
2014-6-08 12:00:19,269714,86,85,check-in,
2014-6-08 12:00:19,731008,24,45,check-in,
2014-6-08 12:00:21,1617284,43,6,check-in,
2014-6-08 12:00:23,1115809,67,17,check-in,
2014-6-08 12:00:23,1372248,67,17,check-in,
2014-6-08 12:00:23,1766909,67,17,check-in,
2014-6-08 12:00:23,1867519,67,17,check-in,
2014-6-08 12:00:23,332770,67,17,check-in,
2014-6-08 12:00:24,1585018,67,17,check-in,
2014-6-08 12:00:24,209288,88,76,check-in,
2014-6-08 12:00:25,1589559,81,92,check-in,
2014-6-08 12:00:25,97490,88,76,check-in,
2014-6-08 12:00:26,1678825,43,17,check-in,
2014-6-08 12:00:33,521178,48,87,check-in,
2014-6-08 12:00:38,333252,24,45,check-in,
2014-6-08 12:00:39,810212,44,86,check-in,
2014-6-08 12:00:41,2046799,66,16,check-in,
2014-6-08 12:00:42,1137349,37,42,check-in,
2014-6-08 12:00:42,77892,81,87,check-in,
2014-6-08 12:00:42,928491,66,16,check-in,
2014-6-08 12:00:43,1291862,90,38,check-in,
2014-6-08 12:00:43,1478553,90,38,check-in,
2014-6-08 12:00:43,1624143,44,86,check-in,
2014-6-08 12:00:43,1905460,90,38,check-in,
2014-6-08 12:00:43,255269,90,38,check-in,
2014-6-08 12:00:44,1466013,44,86,check-in,
2014-6-08 12:00:44,368123,90,38,check-in,
2014-6-08 12:00:45,1267456,15,27,check-in,
2014-6-08 12:00:46,1613471,11,47,check-in,
2014-6-08 12:00:46,2018880,11,47,check-in,
2014-6-08 12:00:46,343681,11,47,check-in,
2014-6-08 12:00:47,1298260,11,47,check-in,
2014-6-08 12:00:47,1316272,11,47,check-in,
2014-6-08 12:00:47,1523968,66,16,check-in,
2014-6-08 12:00:47,256075,11,47,check-in,
2014-6-08 12:00:47,368255,49,16,check-in,
2014-6-08 12:00:47,619449,11,47,check-in,
2014-6-08 12:00:47,802705,11,47,check-in,
2014-6-08 12:00:48,232620,24,45,check-in,
2014-6-08 12:00:48,265258,11,47,check-in,
2014-6-08 12:00:48,359283,24,45,check-in,
2014-6-08 12:00:49,1350021,68,34,check-in,
2014-6-08 12:00:49,419271,24,45,check-in,
2014-6-08 12:00:49,544893,11,47,check-in,
2014-6-08 12:00:49,567670,24,45,check-in,
2014-6-08 12:00:49,74766,81,87,check-in,
2014-6-08 12:00:50,1031660,80,82,check-in,
2014-6-08 12:00:50,1908834,11,47,check-in,
2014-6-08 12:00:50,258464,81,87,check-in,
2014-6-08 12:00:51,1521686,44,69,check-in,
2014-6-08 12:00:51,1983657,11,47,check-in,
2014-6-08 12:00:51,554479,44,69,check-in,
2014-6-08 12:00:51,658223,44,69,check-in,
2014-6-08 12:00:51,8931,11,47,check-in,
2014-6-08 12:00:51,939927,44,69,check-in,
2014-6-08 12:00:52,1115813,44,69,check-in,
2014-6-08 12:00:54,646993,24,45,check-in,
2014-6-08 12:00:55,1136963,24,45,check-in,
2014-6-08 12:00:55,175741,24,45,check-in,
2014-6-08 12:00:56,1198534,81,87,check-in,
2014-6-08 12:00:56,1584822,87,48,check-in,
2014-6-08 12:00:56,2081604,87,48,check-in,
2014-6-08 12:00:56,832662,81,87,check-in,
2014-6-08 12:00:57,1114109,81,87,check-in,
2014-6-08 12:00:57,1124046,81,87,check-in,
2014-6-08 12:00:57,1329392,43,17,check-in,
2014-6-08 12:00:57,1424087,81,87,check-in,
2014-6-08 12:00:57,1534016,81,87,check-in,
2014-6-08 12:00:57,1571183,81,87,check-in,
2014-6-08 12:00:57,1696314,43,17,check-in,
2014-6-08 12:00:57,1728252,43,17,check-in,
2014-6-08 12:00:57,1931368,84,73,check-in,
2014-6-08 12:00:57,549264,43,17,check-in,
2014-6-08 12:00:57,591820,81,87,check-in,
2014-6-08 12:00:58,1529701,43,17,check-in,
2014-6-08 12:00:58,1714092,84,73,check-in,
2014-6-08 12:00:58,452016,11,47,check-in,
2014-6-08 12:00:58,662057,11,47,check-in,
2014-6-08 12:00:59,1416498,11,47,check-in,
2014-6-08 12:00:59,336338,90,38,check-in,
2014-6-08 12:00:59,474586,63,87,check-in,
2014-6-08 12:01:01,1730626,66,16,check-in,
2014-6-08 12:01:01,1768688,66,16,check-in,
2014-6-08 12:01:01,360857,66,16,check-in,
2014-6-08 12:01:01,860506,66,16,check-in,
2014-6-08 12:01:02,223305,66,16,check-in,
2014-6-08 12:01:03,1315406,66,16,check-in,
2014-6-08 12:01:03,1536579,66,16,check-in,
2014-6-08 12:01:03,189505,66,28,check-in,
2014-6-08 12:01:03,26349,66,28,check-in,
2014-6-08 12:01:03,374448,66,16,check-in,
2014-6-08 12:01:03,52834,66,16,check-in,
2014-6-08 12:01:03,73058,44,86,check-in,
2014-6-08 12:01:04,676667,89,79,check-in,
2014-6-08 12:01:04,744780,66,28,check-in,
2014-6-08 12:01:06,1410591,66,28,check-in,
2014-6-08 12:01:07,1140163,66,28,check-in,
2014-6-08 12:01:07,1412866,66,28,check-in,
2014-6-08 12:01:07,172233,66,28,check-in,
2014-6-08 12:01:07,1963126,66,28,check-in,
2014-6-08 12:01:07,2039001,63,87,check-in,
2014-6-08 12:01:08,1106024,44,69,check-in,
2014-6-08 12:01:08,1328062,44,69,check-in,
